id;date;code;paiee;id_eleve
1;2023-03-05;facilitate;Avon Consultant;Cambridgeshire
2;2023-03-05;facilitate;Cotton instruction;transparent
3;2023-03-05;Creative payment;Strategist;bypass Poland
4;2023-03-06;blue;International Metal asymmetric;Personal Loan Account Garden
5;2023-03-05;Investment Account;Quality-focused web-readiness;Luxembourg
6;2023-03-05;Sleek Generic Soft;Colorado Officer Shoes;SSL black
7;2023-03-06;Kyat sensor;Group;withdrawalish
8;2023-03-05;Legacy payment;synthesize;Producer withdrawa
9;2023-03-06;Outdoors;Accountability;Ford
10;2023-03-06;Unbranded;Distributed;Computers
